Designator,Mid X,Mid Y,Rotation,Layer
C1,215.8706,-104.1808,0.0,top
C10,199.3982,-114.3976,0.0,top
C11,207.4672,-67.4624,270.0,top
C12,205.9686,-67.4624,270.0,top
C2,212.4794,-104.1558,0.0,top
C3,212.1114,-93.31,0.0,top
C4,194.3182,-110.8416,180.0,top
C5,199.0782,-103.7976,270.0,top
C6,200.7444,-108.1492,270.0,top
C7,191.2572,-110.7976,0.0,top
C8,194.3182,-112.3656,180.0,top
C9,201.9382,-111.8576,270.0,top
J2,193.2432,-84.455,180.0,top
J3,235.8,-112.0,270.0,top
J4,235.9406,-84.3788,180.0,top
L1,199.0934,-106.8283,90.0,top
R3,228.0,-117.5,0.0,top
R4,200.406,-75.946,0.0,top
R5,229.4636,-85.2678,0.0,top
R6,222.25,-114.3,0.0,top
R7,215.9,-114.3,0.0,top
SW1,200.406,-73.6,0.0,top
SW2,229.3888,-88.0474,0.0,top
U1,218.0,-75.39,0.0,top
U2,195.6682,-107.02815,90.0,top
U3,212.0506,-98.6808,90.0,top
U4,228.0,-112.5,0.0,top
U5,191.5782,-107.7976,180.0,top
USB1,218.44,-119.38,0.0,top
Y1,199.0782,-111.6476,180.0,top
